year_month,mean_sentiment,pct_negative,review_count,mean_rating
2023-01-01,0.541795665634675,21.671826625387,323,4.0588235294117645
2023-02-01,0.6485714285714286,17.142857142857142,350,4.168571428571428
2023-03-01,0.5163934426229508,22.950819672131146,366,3.948087431693989
2023-04-01,0.6693227091633466,15.53784860557769,502,4.260956175298805
2023-05-01,0.6203319502074689,18.25726141078838,482,4.170124481327801
2023-06-01,0.35494880546075086,30.37542662116041,293,3.7747440273037545
2023-07-01,0.44089456869009586,26.837060702875398,313,3.9424920127795526
2023-08-01,0.6993243243243243,14.020270270270272,592,4.283783783783784
2023-09-01,0.6390977443609023,16.541353383458645,532,4.261278195488722
2023-10-01,0.645655877342419,17.206132879045995,587,4.23679727427598
2023-11-01,0.6965865992414665,14.538558786346398,791,4.3388116308470295
2023-12-01,0.6853658536585366,14.75609756097561,820,4.345121951219512
2024-01-01,0.5886287625418061,19.50947603121516,897,4.148272017837235
2024-02-01,0.656,16.266666666666666,750,4.236
2024-03-01,0.7024875621890547,14.527363184079602,1005,4.344278606965174
2024-04-01,0.6585838991270611,16.29485935984481,1031,4.230843840931135
2024-05-01,0.7154026583268178,13.526192337763879,1279,4.312744331508991
2024-06-01,0.7864806866952789,9.406294706723891,2796,4.503576537911302
2024-07-01,0.7903867003975424,9.468738706179979,2767,4.527647271413083
2024-08-01,0.7543520309477756,11.170212765957446,2068,4.466634429400387
2024-09-01,0.8242485990830362,7.641365257259297,1963,4.578196637799286
2024-10-01,0.7954872779644743,8.97743638982237,2083,4.551128180508881
2024-11-01,0.7790570175438597,10.25219298245614,1824,4.516447368421052
2024-12-01,0.6585365853658537,16.202090592334496,1148,4.308362369337979
2025-01-01,0.751685393258427,11.273408239700375,2670,4.429213483146067
2025-02-01,0.7729257641921398,10.202461294164351,2519,4.475188566891624
2025-03-01,0.7637221269296741,10.634648370497427,2332,4.465265866209262
2025-04-01,0.7937405731523378,9.539969834087481,2652,4.506410256410256
2025-05-01,0.6097959183673469,18.775510204081634,1225,4.18530612244898
2025-06-01,0.6791120080726539,15.287588294651865,1982,4.3092835519677095
2025-07-01,0.6547455295735901,15.955983493810177,1454,4.237964236588721
2025-08-01,0.7684478371501272,10.899067005937235,2358,4.481340118744699
2025-09-01,0.7434603028912345,11.840293712712253,2179,4.421753097751262
2025-10-01,0.7953281423804227,9.380793474230627,2697,4.555802743789395
2025-11-01,0.7517347725520431,11.95065535851966,1297,4.4394757131842715
2025-12-01,0.7967032967032966,9.14085914085914,4004,4.53971028971029
2026-01-01,0.7610816838583775,10.956230833565654,3587,4.488151658767772
2026-02-01,0.7359943977591037,12.394957983193278,1428,4.428571428571429
2026-03-01,0.7940552016985138,9.306440198159944,2826,4.528308563340411
2026-04-01,0.8105694980694981,8.397683397683398,4144,4.579633204633205
